Group,Team
A,Lawrence Tech
A,University of Arkansas
A,Colby College
A,Saint Vincent College
B,Hope College
B,Dartmouth College
B,Calvin Univeristy
B,Sacred Heart University
C,Grand Valley State University
C,Florida Gulf Coast University
C,Purdue University
C,Missouri State University
D,Unviersity of Missouri
D,United States Air Force Academy
D,Central Maine Community College
D,Michigan State University
