Group,Team
A,Montana State University
A,Keene State College
A,Miami University
A,Concordia University of Wisconsin
B,Northeastern University
B,Weber State University
B,Indiana University
B,Michigan State University
C,Lindenwood University
C,Liberty University
C,University of Providence
C,Army (West Point)
D,Florida Gulf Coast University
D,Saint Thomas University
D,University of New Hampshire
D,Metropolitan State University Denver
