Date,Team,Opp.,GF,GA,Result,GFax,GAax,GDax,PTSax,Win Prob.,xGF,xGA,xPts,Lg.
Nov 1,Weber State University,University of Montana,3,0,Win,-1.97,-3.44,1.47,0.884,71.5,4.97,3.44,2.116,M2
Nov 1,University of Idaho,Idaho State University,5,2,Win,1.57,0.02,1.55,0.786,75.1,3.43,1.98,2.214,M2
Nov 1,Keene State College,Saint Anselm College,2,4,Loss,-1.65,-1.69,0.05,-0.735,23.5,3.65,5.69,0.735,M2
Nov 1,Texas Christian University,University of Denver,4,5,Loss,-0.24,0.11,-0.34,-1.236,40.8,4.24,4.89,1.236,M2
Nov 1,University of New Mexico,Arizona State University,2,5,Loss,-1.14,0.07,-1.21,-0.778,24.9,3.14,4.93,0.778,M2
Nov 1,Utah State University ,Montana State University,2,4,Loss,-1.96,-3.58,1.62,-0.375,11.7,3.96,7.58,0.375,M2
Nov 1,University of Missouri,Illinois State University,2,6,Loss,-0.53,3.37,-3.91,-1.451,48.2,2.53,2.63,1.451,M2
Nov 1,Duke University,Princeton University,11,7,Win,4.17,3.74,0.43,0.353,89.1,6.83,3.26,2.647,M2
Nov 1,San Jose State University,Eastern Washington University,3,5,Loss,-0.21,2.17,-2.37,-1.684,56.5,3.21,2.83,1.684,M2
Nov 1,Trine University,Bowling Green State University,7,3,Win,2.03,1.91,0.12,0.141,96,4.97,1.09,2.859,M2
Nov 1,University of Minnesota Crookston,Bethel University,11,0,Win,3.6,-2.17,5.77,0.101,97.1,7.4,2.17,2.899,M2
Nov 1,University of California Santa Barbara,Grand Canyon University,2,10,Loss,-0.32,2.27,-2.59,-0.093,2.7,2.32,7.73,0.093,M2
Nov 1,University of Southern California,University of Washington,4,6,Loss,2.17,1.7,0.47,-0.457,13.9,1.83,4.3,0.457,M2
Nov 1,Western Washington University,University of California Berkeley,0,6,Loss,-1.12,-2.67,1.55,-0.007,0.2,1.12,8.67,0.007,M2
Nov 2,Denison University,High Point University,5,4,Win,1.96,-0.85,2.81,2.234,24.5,3.04,4.85,0.766,M2
Nov 2,University of North Carolina Chapel Hill,Penn State University,3,4,Loss,0.42,-0.43,0.85,-0.714,22.6,2.58,4.43,0.714,M2
Nov 2,University of Connecticut,Bentley University,5,7,Loss,1.78,2.98,-1.2,-1.146,37.6,3.22,4.02,1.146,M2
Nov 2,University of Wisconsin Eau Claire,University of Wisconsin,2,8,Loss,0.79,2.71,-1.91,-0.133,3.8,1.21,5.29,0.133,M2
Nov 2,Metropolitan State University Denver,Concordia University of Wisconsin,1,4,Loss,-1.86,-0.36,-1.5,-0.855,27.4,2.86,4.36,0.855,M2
Nov 2,University of Nebraska,Augustana University,2,10,Loss,0.17,2.14,-1.97,-0.048,1.4,1.83,7.86,0.048,M2
Nov 2,Michigan Technological University,Sault College,3,6,Loss,1.35,2.04,-0.68,-0.471,14.3,1.65,3.96,0.471,M2
Nov 2,Gustavus Adolphus College,University of Saint Thomas,3,9,Loss,1.06,-1.53,2.59,-0.002,0,1.94,10.53,0.002,M2
Nov 2,Northern Michigan University,Lake Superior State University,1,2,Loss,-0.95,-2.69,1.74,-0.41,12.4,1.95,4.69,0.41,M2
Nov 2,University of Minnesota,Saint Johns University,7,1,Win,1.49,0.12,1.37,0.069,98.1,5.51,0.88,2.931,M2
Nov 2,Northeastern University,Liberty University,2,0,Win,-0.17,-3.07,2.9,1.965,33.5,2.17,3.07,1.035,M2
