Date,Team,Opp.,GF,GA,Result,GFax,GAax,GDax,PTSax,Win Prob.,xGF,xGA,xPts,Lg.
Sep 20,McKendree University,Maryville University,3,2,Win,0.57,-0.88,1.45,1.737,41.6,2.43,2.88,1.263,W1
Sep 21,Midland University,Lindenwood University,4,0,Win,-0.99,-1.48,0.5,0.224,93.5,4.99,1.48,2.776,W1
Sep 21,Maryville University,McKendree University,5,4,Win,1.86,1.77,0.09,1.034,66.5,3.14,2.23,1.966,W1
Sep 21,Colorado State University,University of Denver,6,4,Win,3.63,2.95,0.68,0.696,78.7,2.37,1.05,2.304,W1
Sep 22,Midland University,Lindenwood University,3,1,Win,-1.99,-0.48,-1.5,0.224,93.5,4.99,1.48,2.776,W1
Sep 26,McKendree University,Niagara University,4,1,Win,0.63,-1.17,1.81,0.909,70.9,3.37,2.17,2.091,W1
Sep 26,Adrian College,Indiana Tech,3,3,Tie,-0.11,1.26,-1.37,-0.713,75.2,3.11,1.74,2.213,W1
Sep 26,University of Wyoming,Montana State University,4,3,Win,2.78,-0.92,3.7,2.678,9.4,1.22,3.92,0.322,W1
Sep 26,University of Arizona,Grand Canyon University,1,2,Loss,-2.51,0.24,-2.75,-2.348,79.7,3.51,1.76,2.348,W1
Sep 27,Indiana Tech,Adrian College,1,2,OT Loss,-0.89,-1.85,0.96,0.019,31.5,1.89,2.85,0.981,W1
Sep 27,Midland University,Minot State University,2,0,Win,-1.21,-2.28,1.07,1.032,66.6,3.21,2.28,1.968,W1
Sep 27,University of Colorado,University of Utah,3,2,Win,1.16,0.02,1.14,1.588,46.8,1.84,1.98,1.412,W1
Sep 27,Concordia University Ann Arbor,Miami University,2,5,Loss,0.78,1.95,-1.17,-0.541,16.4,1.22,3.05,0.541,W1
Sep 27,Maryville University,Niagara University,4,3,Win,-0.27,0.87,-1.14,0.581,81.9,4.27,2.13,2.419,W1
Sep 27,Colorado State University,Montana State University,3,2,Win,0.04,1.01,-0.98,0.455,86.6,2.96,0.99,2.545,W1
Sep 28,Concordia University Ann Arbor,Miami University,0,1,Loss,-1.22,-2.05,0.83,-0.541,16.4,1.22,3.05,0.541,W1
Sep 28,Midland University,Minot State University,3,0,Win,-0.21,-2.28,2.07,1.032,66.6,3.21,2.28,1.968,W1
Sep 28,University of Colorado,University of Utah,3,1,Win,1.16,-0.98,2.14,1.588,46.8,1.84,1.98,1.412,W1
Sep 28,Grand Canyon University,University of Arizona,4,5,Loss,2.09,1.78,0.31,-0.836,26.5,1.91,3.22,0.836,W1
Sep 28,Colorado State University,Montana State University,3,0,Win,0.04,-0.99,1.02,0.455,86.6,2.96,0.99,2.545,W1
Sep 28,Maryville University,Niagara University,7,0,Win,2.73,-2.13,4.86,0.581,81.9,4.27,2.13,2.419,W1
Sep 28,Lindenwood University,McKendree University,1,2,Loss,-0.74,-1.86,1.12,-0.537,16.5,1.74,3.86,0.537,W1
Sep 29,University of Wyoming,Montana State University,6,4,Win,4.78,0.08,4.7,2.678,9.4,1.22,3.92,0.322,W1
Sep 29,Lindenwood University,McKendree University,2,3,Loss,0.26,-0.86,1.12,-0.537,16.5,1.74,3.86,0.537,W1
Oct 3,University of Michigan,Maryville University,1,4,Loss,-0.66,-0.81,0.15,-0.297,8.8,1.66,4.81,0.297,W1
Oct 4,Adrian College,McKendree University,1,3,Loss,-1.72,1.13,-2.85,-1.968,66.7,2.72,1.87,1.968,W1
Oct 4,University of Utah,University of Wyoming,11,0,Win,2.89,-0.42,3.31,0.002,99.9,8.11,0.42,2.998,W1
Oct 4,University of Jamestown,Midland University,2,3,OT Loss,0.27,-2.25,2.52,0.567,13.1,1.73,4.25,0.433,W1
Oct 4,University of Massachusetts Amherst,University of Colorado,1,2,Loss,-2.45,-0.31,-2.14,-2.057,69.7,3.45,2.31,2.057,W1
Oct 4,University of Michigan Dearborn,Maryville University,0,2,Loss,-2,-1.39,-0.61,-0.814,25.8,2,3.39,0.814,W1
Oct 4,Minot State University,University of Arizona,5,1,Win,-0.89,-0.13,-0.76,0.079,97.8,5.89,1.13,2.921,W1
Oct 4,Miami University,Michigan State University,3,4,OT Loss,0.72,1.52,-0.8,-0.987,67.5,2.28,1.48,1.987,W1
Oct 4,University of Denver,Colorado State University,0,4,Loss,-1.14,1.83,-2.97,-0.845,26.4,1.14,2.17,0.845,W1
Oct 4,Arizona State University,Grand Canyon University,9,3,Win,3.73,1.95,1.78,0.108,97,5.27,1.05,2.892,W1
Oct 5,University of Jamestown,Midland University,0,3,Loss,-1.73,-1.25,-0.48,-0.433,13.1,1.73,4.25,0.433,W1
Oct 5,University of Michigan Dearborn,Maryville University,1,4,Loss,-1,0.61,-1.61,-0.814,25.8,2,3.39,0.814,W1
Oct 5,University of Utah,University of Wyoming,13,2,Win,4.89,1.58,3.31,0.002,99.9,8.11,0.42,2.998,W1
Oct 5,Grand Valley State University,McKendree University,0,5,Loss,-1.15,0.43,-1.57,-0.197,5.6,1.15,4.57,0.197,W1
Oct 5,Minot State University,University of Arizona,8,1,Win,2.11,-0.13,2.24,0.079,97.8,5.89,1.13,2.921,W1
Oct 5,Adrian College,Lake Superior State University,6,2,Win,1.7,0.81,0.89,0.247,92.8,4.3,1.19,2.753,W1
Oct 5,University of Denver,Colorado State University,4,5,Loss,2.86,2.83,0.03,-0.845,26.4,1.14,2.17,0.845,W1
Oct 5,University of Rhode Island,University of Colorado,3,1,Win,0.48,-1.41,1.9,1.443,52,2.52,2.41,1.557,W1
Oct 5,Miami University,Michigan State University,2,1,Win,-0.28,-0.48,0.2,1.013,67.5,2.28,1.48,1.987,W1
Oct 5,Grand Canyon University,Arizona State University,1,5,Loss,-0.14,0.15,-0.3,-0.163,4.6,1.14,4.85,0.163,W1
Oct 6,University of Rhode Island,University of Colorado,1,3,Loss,-1.52,0.59,-2.1,-1.557,52,2.52,2.41,1.557,W1
Oct 6,University of Jamestown,University of Arizona,8,1,Win,3.86,-0.64,4.5,0.424,87.2,4.14,1.64,2.576,W1
Oct 6,University of Michigan,McKendree University,3,2,OT Win,0.31,-1.8,2.11,1.466,16.4,1.69,3.8,0.534,W1
Oct 6,Michigan State University,Grand Valley State University,3,2,Win,-0.16,0.47,-0.63,0.662,79.5,3.16,1.53,2.338,W1
Oct 6,Adrian College,Lake Superior State University,5,0,Win,0.7,-1.19,1.89,0.247,92.8,4.3,1.19,2.753,W1
Oct 11,Grand Valley State University,University of Michigan Dearborn,0,2,Loss,-1.35,-1.77,0.42,-0.403,12,1.35,3.77,0.403,W1
Oct 11,Minot State University,University of Jamestown,5,1,Win,0.78,-0.87,1.65,0.491,85,4.22,1.87,2.509,W1
Oct 11,McKendree University,University of Rhode Island,5,1,Win,-1.5,-0.02,-1.48,0.042,98.9,6.5,1.02,2.958,W1
Oct 11,Lake Superior State University,Michigan State University,3,2,OT Win,-0.29,-0.28,-0.02,0.49,50.4,2.29,2.28,1.51,W1
Oct 11,Montana State University,University of Utah,0,6,Loss,-0.87,1.65,-2.52,-0.157,4.4,0.87,4.35,0.157,W1
Oct 11,Lindenwood University,University of Minnesota,2,1,Win,-2.19,-0.77,-1.42,0.463,85.9,4.19,1.77,2.537,W1
Oct 12,Lake Superior State University,Michigan State University,2,4,Loss,-0.29,1.72,-2.02,-1.51,50.4,2.29,2.28,1.51,W1
Oct 12,University of Michigan Dearborn,Grand Valley State University,4,1,Win,-0.11,-0.24,0.13,0.293,91.4,4.11,1.24,2.707,W1
Oct 12,Minot State University,University of Jamestown,2,2,Tie,-2.22,0.13,-2.35,-1.009,85,4.22,1.87,2.509,W1
Oct 12,University of Wyoming,University of Denver,1,8,Loss,0.02,3.84,-3.82,-0.207,5.9,0.98,4.16,0.207,W1
Oct 12,McKendree University,University of Rhode Island,3,0,Win,-3.5,-1.02,-2.48,0.042,98.9,6.5,1.02,2.958,W1
Oct 12,Montana State University,University of Utah,0,7,Loss,-0.87,2.65,-3.52,-0.157,4.4,0.87,4.35,0.157,W1
Oct 12,Adrian College,Niagara University,3,2,Win,-0.7,0.21,-0.91,0.607,81.2,3.7,1.79,2.393,W1
Oct 12,Colorado State University,University of Colorado,6,2,Win,4.65,-0.09,4.74,1.969,33,1.35,2.09,1.031,W1
Oct 12,Lindenwood University,University of Minnesota,7,3,Win,2.81,1.23,1.58,0.463,85.9,4.19,1.77,2.537,W1
