Date,Team,Opp.,GF,GA,Result,GFax,GAax,GDax,PTSax,Win Prob.,xGF,xGA,xPts,Lg.
Jan 27,Aurora University,University of Wisconsin,0,7,Loss,-4.22,-2.59,-1.64,-0.122,3.6,4.22,9.59,0.122,W2
Jan 27,Northern Michigan University,University of Notre Dame,6,3,Win,-1.2,-0.36,-0.84,0.312,90.4,7.2,3.36,2.688,W2
Jan 27,Niagara University,Brockport State University,4,1,Win,-4.65,-2.36,-2.3,0.126,96.2,8.65,3.36,2.874,W2
Jan 27,University at Buffalo,University of Pittsburgh,3,7,Loss,-0.92,-2.15,1.23,-0.137,4.1,3.92,9.15,0.137,W2
Jan 27,Central Michigan University,The Ohio State University,4,0,Win,-4.43,-5.25,0.82,0.49,84.5,8.43,5.25,2.51,W2
Jan 27,North Dakota State University,Dakota College at Bottineau,1,3,Loss,-3.59,-6.56,2.96,-0.165,5,4.59,9.56,0.165,W2
Jan 27,University of Minnesota Duluth,University of Saint Thomas,2,5,Loss,-2.26,-3.93,1.67,-0.206,6.3,4.26,8.93,0.206,W2
Jan 27,West Chester University,Slippery Rock University,16,8,Win,10.55,0.72,9.82,2.133,28.1,5.45,7.28,0.867,W2
Jan 27,Rowan University,University of Maryland,2,5,Loss,-2.81,-2.1,-0.7,-0.714,22.9,4.81,7.1,0.714,W2
Jan 27,Loyola University Chicago,Bowling Green State University,3,5,Loss,-0.33,-3.41,3.08,-0.146,4.4,3.33,8.41,0.146,W2
Jan 28,Loyola University Chicago,Bowling Green State University,0,3,Loss,-3.33,-5.41,2.08,-0.146,4.4,3.33,8.41,0.146,W2
Jan 28,Iowa State University,University of Nebraska,12,0,Win,4.01,-1.88,5.89,0.046,98.7,7.99,1.88,2.954,W2
Jan 28,University of Minnesota Duluth,University of Saint Thomas,1,2,Loss,-3.26,-6.93,3.67,-0.206,6.3,4.26,8.93,0.206,W2
Jan 28,University of Virginia,Virginia Tech,7,3,Win,2.78,-0.26,3.04,1.083,64.7,4.22,3.26,1.917,W2
Jan 28,University of Vermont,Saint Anselm College,5,1,Win,-2.41,-3.88,1.47,0.651,79.2,7.41,4.88,2.349,W2
Jan 28,North Dakota State University,Dakota College at Bottineau,0,6,Loss,-4.59,-3.56,-1.04,-0.165,5,4.59,9.56,0.165,W2
Jan 28,Northern Michigan University,University of Notre Dame,5,6,OT Loss,-2.2,1.64,-3.84,-1.688,90.4,7.2,3.36,2.688,W2
Jan 28,Central Michigan University,The Ohio State University,4,2,Win,-4.43,-3.25,-1.18,0.49,84.5,8.43,5.25,2.51,W2
Jan 28,Michigan State University,Maryville University,10,0,Win,0.9,-3.56,4.47,0.106,96.8,9.1,3.56,2.894,W2
Jan 28,West Chester University,Slippery Rock University,6,7,Loss,0.55,-0.28,0.82,-0.867,28.1,5.45,7.28,0.867,W2
Jan 28,Harvard University,Bentley University,12,1,Win,2.47,-1.55,4.02,0.024,99.3,9.53,2.55,2.976,W2
Jan 28,Rochester Institute Of Technology,Mercyhurst University,0,16,Loss,-1.91,4.57,-6.48,-0,0,1.91,11.43,0,W2
Jan 28,Boston College,University Of Connecticut,5,2,Win,-3.62,-0.95,-2.67,0.09,97.4,8.62,2.95,2.91,W2
Jan 28,University of Maryland,United States Naval Academy,2,4,Loss,-2.33,-3.78,1.45,-0.418,13.1,4.33,7.78,0.418,W2
Jan 28,Sacred Heart University,University of New Hampshire,4,3,Win,-0.66,-1.64,0.98,1.49,50.4,4.66,4.64,1.51,W2
Jan 28,Providence College,Assumption University,4,1,Win,-1.3,-3.2,1.9,1.07,65,5.3,4.2,1.93,W2
Jan 28,Merrimack College,Harvard University,4,3,Win,0.94,-2.16,3.1,2.321,21.6,3.06,5.16,0.679,W2
Feb 2,University of Wisconsin LaCrosse,University of Saint Thomas,2,5,Loss,-1.48,-5.23,3.75,-0.03,0.9,3.48,10.23,0.03,W2
Feb 2,Niagara University,Sault College,1,6,Loss,-1.28,-4.8,3.52,-0.002,0,2.28,10.8,0.002,W2
Feb 2,Bowling Green State University,University of Notre Dame,2,6,Loss,-2.81,0.05,-2.86,-1.075,35.2,4.81,5.95,1.075,W2
Feb 2,University of Wisconsin LaCrosse,University of Saint Thomas,1,8,Loss,-2.48,-2.23,-0.25,-0.03,0.9,3.48,10.23,0.03,W2
Feb 2,Robert Morris University,University at Buffalo,11,5,Win,2.81,-1.28,4.08,0.84,72.8,8.19,6.28,2.16,W2
Feb 2,University of Pittsburgh,The Ohio State University,1,3,Loss,-4.16,-4.94,0.78,-0.589,18.8,5.16,7.94,0.589,W2
Feb 2,Maryville University,Lake Region State College,0,13,Loss,-3.2,3.48,-6.68,-0.051,1.5,3.2,9.52,0.051,W2
Feb 3,Michigan State University,Miami University,3,6,Loss,-3.27,1.09,-4.36,-1.995,67.2,6.27,4.91,1.995,W2
Feb 3,Providence College,Harvard University,7,3,Win,0.15,0.48,-0.32,0.202,94,6.85,2.52,2.798,W2
Feb 3,Maryville University,Lake Region State College,1,9,Loss,-2.2,-0.52,-1.68,-0.051,1.5,3.2,9.52,0.051,W2
Feb 3,Boston University,University of New Hampshire,7,6,OT Win,-0.4,0.68,-1.08,0.108,63.6,6.4,5.32,1.892,W2
Feb 3,University of Maryland,Virginia Tech,9,1,Win,1.1,-0.73,1.83,0.041,98.9,7.9,1.73,2.959,W2
Feb 3,Lawrence Technological University,Adrian College,5,5,Tie,-1.58,-2.95,1.37,0.482,33.3,6.58,7.95,1.018,W2
Feb 3,Bowling Green State University,University of Notre Dame,3,1,Win,-1.81,-4.95,3.14,1.925,35.2,4.81,5.95,1.075,W2
Feb 3,Villanova University,Georgetown University,10,0,Win,-0.67,-1.31,0.64,0,100,10.67,1.31,3,W2
Feb 3,Niagara University,Mercyhurst University,1,2,OT Loss,-5.85,-4.93,-0.92,-0.831,61.5,6.85,5.93,1.831,W2
Feb 3,Saint Anselm College,Assumption University,3,4,Loss,-1.69,-3.75,2.06,-0.514,16.2,4.69,7.75,0.514,W2
Feb 3,The Ohio State University,Brockport State University,8,0,Win,-1.48,-3.46,1.98,0.069,98,9.48,3.46,2.931,W2
Feb 3,University of Wisconsin Eau Claire,North Dakota State University,6,4,Win,-0.18,-2.96,2.77,1.776,40.4,6.18,6.96,1.224,W2
Feb 3,West Virginia University ,University at Buffalo,14,4,Win,4.34,-1.14,5.48,0.221,93.2,9.66,5.14,2.779,W2
Feb 3,University of Pennsylvania,Slippery Rock University,13,2,Win,2.28,-0.36,2.64,0.003,99.9,10.72,2.36,2.997,W2
Feb 4,Michigan State University,Miami University,2,3,Loss,-4.27,-1.91,-2.36,-1.995,67.2,6.27,4.91,1.995,W2
Feb 4,United States Naval Academy,University of Delaware,1,4,Loss,-5.42,-2.48,-2.94,-1.477,49.2,6.42,6.48,1.477,W2
Feb 4,West Virginia University ,University of Virginia,10,1,Win,1.16,-3.51,4.67,0.258,92.1,8.84,4.51,2.742,W2
Feb 4,Mercyhurst University,Sault College,0,6,Loss,-2.38,-5.01,2.62,-0.001,0,2.38,11.01,0.001,W2
Feb 4,University of Wisconsin,Iowa State University,5,1,Win,-4.73,-2.92,-1.81,0.082,97.6,9.73,3.92,2.918,W2
