Date,Team,Opp.,GF,GA,Result,GFax,GAax,GDax,PTSax,Win Prob.,xGF,xGA,xPts,Lg.
Sep 6,University of Colorado,Midland University,0,3,Loss,-2.87,0.06,-2.92,-1.462,48.6,2.87,2.94,1.462,M1
Sep 7,University of Colorado,Midland University,3,2,OT Win,-0.87,-0.94,0.08,0.538,48.6,2.87,2.94,1.462,M1
Sep 11,Maryville University,McKendree University,4,0,Win,-0.69,-1.63,0.94,0.31,90.8,4.69,1.63,2.69,M1
Sep 12,Saginaw Valley State University,Davenport University,1,7,Loss,-0.63,0.05,-0.68,-0.074,2.1,1.63,6.95,0.074,M1
Sep 13,Oswego State University,George Mason University,6,2,Win,1.61,-0.28,1.89,0.604,81.1,4.39,2.28,2.396,M1
Sep 13,Kent State University,Northern Illinois University,5,2,Win,1.44,0.3,1.14,0.609,81.2,3.56,1.7,2.391,M1
Sep 13,Western Michigan University,John Carroll University,1,4,Loss,-0.57,-2.13,1.56,-0.121,3.5,1.57,6.13,0.121,M1
Sep 13,Temple University,The College of New Jersey,6,4,Win,1.46,1.29,0.17,0.731,76.8,4.54,2.71,2.269,M1
Sep 13,Drury University,University of Alabama,5,3,Win,-2.83,1.66,-4.49,0.024,99.3,7.83,1.34,2.976,M1
Sep 13,University of Oklahoma,Waldorf University,3,0,Win,-2.32,-2.97,0.65,0.603,81,5.32,2.97,2.397,M1
Sep 13,Maryville University,Missouri State University,6,5,Win,2.05,3.12,-1.07,0.569,82.4,3.95,1.88,2.431,M1
Sep 13,Duquesne University,University of Pittsburgh,2,8,Loss,-0.16,0.66,-0.82,-0.104,3,2.16,7.34,0.104,M1
Sep 13,McKendree University,University of Illinois,3,7,Loss,0.56,3.97,-3.41,-1.197,39.2,2.44,3.03,1.197,M1
Sep 13,University of Colorado,University of Central Oklahoma,5,3,Win,1.68,0.63,1.05,1.03,66.6,3.32,2.37,1.97,M1
Sep 13,Oakland University,Concordia University Ann Arbor,0,6,Loss,-1.85,-0.11,-1.75,-0.168,4.9,1.85,6.11,0.168,M1
