Date,Rank,Team,Power Rating,Offense Rank,Defense Rank,Off_rating,Def_rating
2023-08-24,1,Assiniboine Community College,10.794,1,2,11.778759227582022,0.984372504079754
2023-08-24,2,Sault College,10.047,2,1,11.02848393736438,0.9809890762297572
2023-08-24,3,Dakota College at Bottineau,7.128,3,3,8.135579387708843,1.0080712705973671
2023-08-24,4,United States Naval Academy,6.134,4,8,7.845069057627967,1.7110323499704072
2023-08-24,5,Assumption University,5.713,8,5,7.331505101393698,1.6185131043310743
2023-08-24,6,Liberty University,5.7,5,6,7.400944306644766,1.700989083378862
2023-08-24,7,University of Vermont,5.56,7,11,7.342260400351085,1.7826054759585563
2023-08-24,8,Villanova University,5.37,6,16,7.37559807938744,2.0055118240067897
2023-08-24,9,Northeastern University,4.986,9,9,6.722668474918332,1.736831470212158
2023-08-24,10,Rowan University,4.845,10,7,6.554226478433601,1.7088728849803836
2023-08-24,11,Providence College,4.64,11,10,6.379989024028866,1.7396555450500908
2023-08-24,12,University of Wisconsin,4.486,17,4,5.956102935975863,1.4705526238382614
2023-08-24,13,Adrian College,4.303,12,14,6.120431218261973,1.817924521359359
2023-08-24,14,North Dakota State University,3.948,15,17,6.045283459047986,2.097011262381208
2023-08-24,15,Michigan State University,3.873,14,20,6.050272978141665,2.1770436359172214
2023-08-24,16,Lawrence Technological University,3.833,18,18,5.9463504459319605,2.113073795455847
2023-08-24,17,Boston College,3.633,19,19,5.791642451660473,2.1588433693157643
2023-08-24,18,University of Wisconsin LaCrosse,3.335,13,28,6.0604264586534,2.7253997614188457
2023-08-24,19,The Ohio State University,3.196,21,15,5.106624251702699,1.910906327943924
2023-08-24,20,Niagara University,3.189,23,12,4.973114345192394,1.7837796837863984
2023-08-24,21,Central Michigan University,3.17,22,13,4.983456648953505,1.813079432378193
2023-08-24,22,University of Minnesota Duluth,2.478,25,22,4.789012273105641,2.3114126387012477
2023-08-24,23,Northern Michigan University,2.406,20,29,5.194055421895556,2.7877586496802147
2023-08-24,24,University of New Hampshire,2.314,24,26,4.907050470666702,2.592901228316816
2023-08-24,25,Boston University,2.208,26,24,4.677513191439364,2.469185014988173
2023-08-24,26,Merrimack College,2.157,29,21,4.395965752812737,2.2392393540578412
2023-08-24,27,University of Delaware,1.969,16,50,5.959839454401378,3.990356144811327
2023-08-24,28,University at Buffalo,1.912,28,25,4.4142933329859515,2.5021191142015486
2023-08-24,29,Saint Anselm College,1.746,27,30,4.565252437581079,2.8189406987650383
2023-08-24,30,Maryville University,1.417,30,31,4.257677767768458,2.840567785508715
2023-08-24,31,Sacred Heart University,1.317,31,32,4.22050006349236,2.903293776795936
2023-08-24,32,Miami University,1.277,46,27,3.905696936437016,2.6289394577320415
2023-08-24,33,University of Notre Dame,1.042,32,35,4.206603357588759,3.1649938015282433
2023-08-24,34,University of Pittsburgh,0.973,43,33,3.966433992933752,2.9929865380362117
2023-08-24,35,Robert Morris University,0.79,45,34,3.9101045625593542,3.119867572196024
2023-08-24,36,Mercyhurst University,0.677,51,23,3.065651911642338,2.3887220784861816
2023-08-24,37,University of Maryland,0.477,33,38,4.100418410041841,3.623430962343096
2023-08-24,37,West Virginia University,0.477,33,38,4.100418410041841,3.623430962343096
2023-08-24,37,SUNY Cortland,0.477,33,38,4.100418410041841,3.623430962343096
2023-08-24,37,Lake Region State College,0.477,33,38,4.100418410041841,3.623430962343096
2023-08-24,37,University of Saint Thomas,0.477,33,38,4.100418410041841,3.623430962343096
